end_device_experiment_id;end_device_run_id;direction;sending_date;target_speed;end_device_id;sequence_number;algorithm_on;transmission_successful;end_device_gps_mode;end_device_longitude;end_device_epx;end_device_latitude;end_device_epy;end_device_altitude;end_device_epv;end_device_speed;end_device_eps;central_frequency;bandwidth;transmitting_power;spreading_factor;coding_rate;payload;payload_size;gateway_experiment_id;gateway_run_id;gateway_id;gateway_date;gateway_longitude;gateway_latitude;gateway_altitude;modulation;crc_test;rssi;snr_average;snr_minimum;snr_maximum;snr_correction;rf_chain;if_chain;receiving_timestamp;receiving_time;modem_id;rx_max_bin_pos;crc_value
1;1;1;2018-04-20 20:58:34;2;1;6;1;1;3;5.165196667;2.230000000;51.063400000;4.5700;19.2000;4.4280;1.3840;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00d015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-88.000;7.000;4.200;11.000;;0;0;1249869132;;7;826;2d65
1;1;1;2018-04-20 20:58:30;2;1;6;0;1;3;5.165146667;2.230000000;51.063435000;4.5700;19.2000;4.4280;1.3990;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00c017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-71.000;7.500;3.200;12.200;;0;0;1248790124;;7;3813;2f75
1;1;1;2018-04-20 20:58:49;2;1;7;1;1;3;5.165391667;2.230000000;51.063256667;4.5700;19.1000;4.4280;1.3890;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00f015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-96.000;7.500;2.200;10.000;;0;0;1264870564;;7;37;2d45
1;1;1;2018-04-20 20:58:45;2;1;7;0;1;3;5.165341667;2.230000000;51.063293333;4.5700;19.1000;4.4280;1.4100;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00e017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-71.000;7.800;2.800;11.800;;0;0;1263790812;;7;2931;2f55
1;1;1;2018-04-20 20:59:04;2;1;8;1;1;3;5.165596667;2.230000000;51.063108333;4.5700;18.9000;4.4280;1.4400;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00011015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-84.000;7.500;4.800;10.500;;0;0;1279870732;;7;114;b947
1;1;1;2018-04-20 20:59:00;2;1;8;0;1;3;5.165535000;2.230000000;51.063146667;4.5700;18.9000;4.4280;1.4560;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00010017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-68.000;6.800;2.000;11.500;;0;0;1278791444;;7;2041;bb57
1;1;1;2018-04-20 20:59:19;2;1;9;1;1;3;5.165791667;2.230000000;51.062963333;4.5700;18.7000;4.4280;1.4100;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00013015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-94.000;8.000;4.500;10.200;;0;0;1294871396;;7;253;b967
1;1;1;2018-04-20 20:59:15;2;1;9;0;1;3;5.165741667;2.230000000;51.063003333;4.5700;18.7000;4.4280;1.4040;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00012017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-76.000;8.500;3.200;12.200;;0;0;1293792412;;7;1194;bb77
1;1;1;2018-04-20 20:59:34;2;1;10;1;1;3;5.165983333;2.230000000;51.062818333;4.5700;18.6000;4.4280;1.4100;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00015015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-91.000;7.800;4.800;10.200;;0;0;1309879596;;7;310;b907
1;1;1;2018-04-20 20:59:30;2;1;10;0;1;3;5.165933333;2.230000000;51.062858333;4.5700;18.6000;4.4280;1.4250;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00014017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-69.000;7.500;3.200;11.500;;0;0;1308796140;;7;692;bb17
